# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FULL val set vs analytic u*_c (h1_rel, host)
level_N,iteration,train_loss,val_eta2,h1_rel_val_median
64,1,3.373681e-01,3.576757e-01,3.381117e-02
64,2,3.309339e-01,3.583331e-01,3.790910e-02
64,3,3.292264e-01,3.554951e-01,3.640184e-02
64,4,3.172410e-01,3.492429e-01,3.423265e-02
64,5,3.128840e-01,3.486792e-01,3.481562e-02
64,6,3.020090e-01,3.403770e-01,3.379000e-02
64,7,2.955136e-01,3.345104e-01,3.184885e-02
64,8,2.778883e-01,3.323678e-01,3.019359e-02
64,9,2.788969e-01,3.274974e-01,2.954227e-02
64,10,2.751842e-01,3.245801e-01,2.962522e-02
64,11,2.701301e-01,3.217617e-01,3.030064e-02
64,12,2.710934e-01,3.284575e-01,3.127774e-02
64,13,2.599629e-01,3.343541e-01,3.072668e-02
64,14,2.599586e-01,3.522062e-01,3.180254e-02
64,15,2.619637e-01,3.656276e-01,3.274903e-02
64,16,2.483835e-01,3.732257e-01,3.017530e-02
64,17,2.389245e-01,3.730403e-01,2.842659e-02
64,18,2.551235e-01,3.804535e-01,2.680164e-02
64,19,2.424384e-01,4.077934e-01,2.915795e-02
64,20,2.351713e-01,4.510302e-01,3.139502e-02
64,21,2.330717e-01,4.844034e-01,3.726096e-02
64,22,2.394409e-01,4.936274e-01,3.477308e-02
64,23,2.371710e-01,4.869235e-01,3.284564e-02
64,24,2.302592e-01,4.617757e-01,3.206728e-02
64,25,2.355434e-01,4.580195e-01,2.703220e-02
64,26,2.349675e-01,4.875218e-01,2.708340e-02
64,27,2.342172e-01,5.439839e-01,3.192272e-02
64,28,2.188310e-01,6.147485e-01,3.649866e-02
64,29,2.291177e-01,6.025377e-01,3.656119e-02
64,30,2.146733e-01,5.707596e-01,3.120382e-02
64,31,2.225296e-01,5.541106e-01,2.677692e-02
64,32,2.264806e-01,5.677809e-01,3.106719e-02
64,33,2.187596e-01,5.910933e-01,3.385575e-02
64,34,2.156358e-01,5.798331e-01,3.520408e-02
64,35,2.123668e-01,5.297678e-01,2.901480e-02
64,36,2.156834e-01,5.100749e-01,2.945016e-02
64,37,2.073936e-01,4.855359e-01,2.489239e-02
64,38,2.139357e-01,4.895959e-01,2.869954e-02
64,39,2.072773e-01,5.076813e-01,3.212796e-02
64,40,2.139246e-01,5.033168e-01,3.231724e-02
64,41,2.011292e-01,4.863245e-01,3.127652e-02
64,42,2.059761e-01,4.964481e-01,2.952806e-02
64,43,2.158709e-01,5.048113e-01,3.097284e-02
64,44,2.124379e-01,4.672544e-01,2.956055e-02
64,45,2.029384e-01,4.147645e-01,2.621682e-02
64,46,2.236741e-01,4.085899e-01,2.443481e-02
64,47,2.037935e-01,4.299025e-01,2.508372e-02
64,48,2.002418e-01,4.884251e-01,3.291118e-02
64,49,2.146513e-01,4.415439e-01,3.001546e-02
64,50,2.009298e-01,3.713854e-01,2.432123e-02
64,51,2.198827e-01,3.557611e-01,2.291019e-02
64,52,2.357412e-01,3.515499e-01,2.326587e-02
64,53,2.165480e-01,3.594914e-01,2.226652e-02
64,54,2.028215e-01,3.914146e-01,2.770083e-02
64,55,2.060661e-01,4.058951e-01,2.777359e-02
64,56,2.133182e-01,3.927376e-01,2.813498e-02
64,57,1.971075e-01,3.566487e-01,2.328900e-02
64,58,1.951626e-01,3.334306e-01,2.214315e-02
64,59,1.887493e-01,3.314635e-01,2.352866e-02
64,60,2.006027e-01,3.326315e-01,2.356401e-02
64,61,3.429782e-01,3.010684e-01,2.289376e-02
64,62,2.895019e-01,2.979235e-01,2.732798e-02
64,63,3.066834e-01,3.222961e-01,3.029542e-02
64,64,3.138028e-01,3.020324e-01,2.738566e-02
64,65,2.904379e-01,2.758696e-01,2.641424e-02
64,66,2.699809e-01,2.647531e-01,2.320609e-02
64,67,2.597689e-01,2.570862e-01,2.156623e-02
64,68,2.524130e-01,2.500730e-01,2.260718e-02
64,69,2.544545e-01,2.603497e-01,2.238716e-02
64,70,2.495814e-01,2.478259e-01,2.300731e-02
64,71,2.496245e-01,2.440765e-01,2.150839e-02
64,72,2.616505e-01,2.427882e-01,2.245948e-02
64,73,2.356776e-01,2.338393e-01,2.147194e-02
64,74,2.367749e-01,2.396717e-01,2.125513e-02
64,75,2.420115e-01,2.392466e-01,2.188516e-02
64,76,2.417436e-01,2.349998e-01,2.058118e-02
64,77,2.425131e-01,2.366540e-01,2.141715e-02
64,78,2.489450e-01,2.402112e-01,2.120085e-02
64,79,2.350746e-01,2.463937e-01,2.297307e-02
64,80,2.473426e-01,2.320978e-01,2.058030e-02
64,81,2.275853e-01,2.301636e-01,2.061373e-02
64,82,2.353438e-01,2.360058e-01,2.148111e-02
64,83,2.395519e-01,2.298474e-01,2.011991e-02
64,84,2.300713e-01,2.293476e-01,2.027621e-02
64,85,2.272176e-01,2.320149e-01,2.126260e-02
64,86,2.483193e-01,2.325884e-01,2.129657e-02
64,87,2.407030e-01,2.293769e-01,2.067911e-02
64,88,2.470122e-01,2.326152e-01,2.079447e-02
64,89,2.289103e-01,2.316515e-01,2.018996e-02
64,90,2.536424e-01,2.756420e-01,2.367562e-02
64,91,2.549946e-01,2.572384e-01,2.245504e-02
64,92,2.485332e-01,2.438784e-01,2.169385e-02
64,93,2.459020e-01,2.316993e-01,2.109133e-02
64,94,2.380995e-01,2.291195e-01,2.035663e-02
64,95,2.383722e-01,2.364031e-01,2.099476e-02
64,96,2.438450e-01,2.289945e-01,2.082073e-02
64,97,2.365716e-01,2.361706e-01,2.076888e-02
64,98,2.482697e-01,2.349194e-01,2.096511e-02
64,99,2.359165e-01,2.304134e-01,2.022425e-02
64,100,2.266025e-01,2.308259e-01,2.050207e-02
64,101,2.263475e-01,2.342330e-01,2.158696e-02
64,102,2.316484e-01,2.414414e-01,2.019018e-02
64,103,2.350470e-01,2.346035e-01,2.079410e-02
64,104,2.498676e-01,2.290505e-01,2.047270e-02
64,105,2.557991e-01,2.477609e-01,2.055597e-02
64,106,2.354609e-01,2.420406e-01,2.142004e-02
64,107,2.539351e-01,2.379403e-01,2.077859e-02
64,108,2.377436e-01,2.359894e-01,2.094107e-02
64,109,2.298484e-01,2.298058e-01,2.088771e-02
64,110,2.367108e-01,2.327792e-01,2.031829e-02
64,111,2.260608e-01,2.368949e-01,2.134723e-02
64,112,2.437453e-01,2.368924e-01,2.200066e-02
64,113,2.328606e-01,2.362495e-01,2.149019e-02
64,114,2.419920e-01,2.320635e-01,2.106416e-02
64,115,2.383182e-01,2.337314e-01,2.170250e-02
64,116,2.256920e-01,2.338026e-01,2.079976e-02
